City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Alamos,MX,78.71,overcast clouds,27.0167,-108.9333,Luz del Sol
6,Cabo San Lucas,MX,81.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
13,Agua Dulce,MX,80.38,clear sky,18.1333,-94.1333,Hotel Victoria
14,Harper,LR,77.45,overcast clouds,4.375,-7.7169,Screensaver
18,Port Blair,IN,81.73,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
27,Sola,VU,80.87,few clouds,-13.8833,167.55,Leumerus Bungalows
35,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
38,Puerto Penasco,MX,75.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
39,Roebourne,AU,77.72,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
46,Muisne,EC,76.01,broken clouds,0.6,-80.0333,Quinta Samay
50,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
62,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
64,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
67,Montes Altos,BR,79.29,overcast clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
68,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
73,Namatanai,PG,85.19,light rain,-3.6667,152.4333,Seagulls Inn Namatani
74,Hambantota,LK,78.75,overcast clouds,6.1241,81.1185,Bungalow 63
76,Bandarbeyla,SO,77.7,overcast clouds,9.4942,50.8122,JABIR HOTEL
79,Sur,OM,81.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
80,Mitsamiouli,KM,78.39,clear sky,-11.3847,43.2844,Foyer ADM
85,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
87,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
97,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
109,Kendari,ID,83.98,overcast clouds,-3.945,122.4989,Hotel Wixel
114,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
120,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
136,Vengurla,IN,77.95,overcast clouds,15.8667,73.6333,Tripvillas @ Golven Resorts
150,Diffa,NE,80.82,overcast clouds,13.3154,12.6113,ProDAF/Diffa
155,Hirara,JP,80.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
156,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
157,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
159,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
160,Mahibadhoo,MV,83.5,few clouds,3.7833,72.9667,Omadhoo Inn
161,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
168,Kralendijk,BQ,80.58,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
169,Mandera,KE,78.1,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
173,Atar,MR,80.6,clear sky,20.5169,-13.0499,Oumou Elghoura
175,Bandrele,YT,78.55,few clouds,-12.9067,45.1914,Les Baobabs
178,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
179,Carupano,VE,77.47,overcast clouds,10.6678,-63.2585,Hotel La dorada
181,Meulaboh,ID,77.38,overcast clouds,4.1363,96.1285,Kost Pria
183,San Policarpo,PH,82.56,broken clouds,12.1791,125.5072,Agapita M. Nicart
188,Hue,VN,78.91,broken clouds,16.4667,107.6,Saigon Morin Hotel
189,Ewa Beach,US,83.57,few clouds,21.3156,-158.0072,Uncle Junior Robert
198,Ugoofaaru,MV,82.11,overcast clouds,5.6667,73.0,Ungoofaaru Inn
199,Guaruja,BR,75.16,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
200,Iracoubo,GF,79.05,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
212,Point Pedro,LK,80.94,broken clouds,9.8167,80.2333,Gtr homes
214,Vanimo,PG,82.42,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
217,Sao Filipe,CV,79.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
221,Trincomalee,LK,80.49,few clouds,8.5711,81.2335,Welcombe Hotel
222,Flinders,AU,76.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
229,Salinopolis,BR,79.39,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
230,Damaturu,NG,78.73,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
236,Srandakan,ID,78.55,overcast clouds,-7.9386,110.2506,Puri Brata
245,Clarence Town,AU,76.14,overcast clouds,-32.5833,151.7833,River Downs Cottage
253,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
254,Lampazos De Naranjo,MX,77.25,clear sky,27.0167,-100.5167,Bella Vista
261,Hobyo,SO,79.95,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
267,Sibolga,ID,77.83,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
271,Tahta,EG,75.24,clear sky,26.7693,31.5021,مصطفي عساف
272,Salur,IN,75.18,overcast clouds,18.5333,83.2167,Pradeep
274,Tual,ID,84.24,broken clouds,-5.6667,132.75,Grand Vilia Hotel
278,Mancio Lima,BR,77.16,light rain,-7.6142,-72.8958,Hotel e Distribuidora Voyage
279,Bosaso,SO,78.8,scattered clouds,11.2842,49.1816,Red Sea Hotel
282,Gat,IL,78.08,overcast clouds,31.61,34.7642,OlusHome
286,Mora,CM,79.38,overcast clouds,11.0461,14.1401,Hotel Emergence
291,Lethem,GY,79.68,overcast clouds,3.3803,-59.7968,Savannah Inn
294,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
295,Bengkulu,ID,78.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
296,Faanui,PF,78.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
298,Gunjur,GM,80.67,clear sky,13.2019,-16.7339,"Gunjur, dalabaa lodge"
300,Poum,NC,75.69,clear sky,-20.2333,164.0167,Gîte kajeon
301,Victoria,HK,78.85,scattered clouds,22.2855,114.1577,Mini Hotel Central
304,Las Vegas,US,79.48,clear sky,36.175,-115.1372,Plaza Hotel & Casino
313,Turan,VN,78.85,broken clouds,16.0678,108.2208,Sun River Hotel
315,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
316,Sharjah,AE,78.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
317,Axim,GH,77.7,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
320,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
325,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
326,Kirakira,SB,86.97,overcast clouds,-10.4544,161.9205,SanBiz Lodge
328,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
333,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
