City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Gambier,AU,-37.8333,140.7667,67.55,44,5,1.81,clear sky
1,Kalemie,CD,-5.9475,29.1947,70.02,88,100,6.38,light rain
2,Fortuna,US,40.5982,-124.1573,61.36,68,90,1.01,overcast clouds
3,Alamos,MX,27.0167,-108.9333,78.71,52,100,3.67,overcast clouds
4,Turukhansk,RU,65.8167,87.9833,5.25,97,95,3.4,overcast clouds
5,Llanes,ES,43.4198,-4.7549,58.89,86,100,20.2,overcast clouds
6,Cabo San Lucas,MX,22.8909,-109.9124,81.7,76,75,5.01,broken clouds
7,Qaanaaq,GL,77.484,-69.3632,16.7,71,100,8.72,overcast clouds
8,Castro,BR,-24.7911,-50.0119,58.69,98,97,6.85,overcast clouds
9,Port Elizabeth,ZA,-33.918,25.5701,64.09,100,75,17.27,mist
10,Jinxiang,CN,27.4327,120.6062,67.03,79,100,9.06,light rain
11,Yishui,CN,35.7847,118.6281,53.33,63,0,11.99,light rain
12,Saint George,US,37.1041,-113.5841,72.95,35,1,3.44,clear sky
13,Agua Dulce,MX,18.1333,-94.1333,80.38,75,9,8.05,clear sky
14,Harper,LR,4.375,-7.7169,77.45,87,96,7.9,overcast clouds
15,Port Lincoln,AU,-34.7333,135.8667,71.53,43,0,9.06,clear sky
16,Vina Del Mar,CL,-33.0246,-71.5518,58.32,73,20,5.75,few clouds
17,Half Moon Bay,US,37.4636,-122.4286,64.24,76,1,1.01,clear sky
18,Port Blair,IN,11.6667,92.75,81.73,78,54,4.29,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,50.11,53,0,8.05,clear sky
20,Akranes,IS,64.3218,-22.0749,36.19,70,15,19.66,few clouds
21,Russell,US,32.3502,-85.1999,56.43,90,1,0.0,clear sky
22,Moche,PE,-8.1711,-79.0092,60.98,88,90,11.5,mist
23,Skjervoy,NO,70.0311,20.9714,40.89,78,100,17.13,overcast clouds
24,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,20,3.8,few clouds
25,Ushuaia,AR,-54.8,-68.3,46.06,76,0,9.22,clear sky
26,Hasaki,JP,35.7333,140.8333,63.28,73,100,5.7,overcast clouds
27,Sola,VU,-13.8833,167.55,80.87,74,16,14.25,few clouds
28,Hermanus,ZA,-34.4187,19.2345,60.91,81,100,10.8,overcast clouds
29,Severo-Kurilsk,RU,50.6789,156.125,36.05,58,80,25.23,light rain
30,Bredasdorp,ZA,-34.5322,20.0403,60.28,73,100,10.49,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,63.88,73,100,1.01,light rain
32,Mezhdurechensk,RU,53.6942,88.0603,25.61,92,100,12.62,snow
33,Hobart,AU,-42.8794,147.3294,65.01,54,75,5.01,broken clouds
34,Albany,US,42.6001,-73.9662,55.94,79,100,10.38,overcast clouds
35,Vaini,TO,-21.2,-175.2,80.76,83,40,11.5,scattered clouds
36,Peleduy,RU,59.6289,112.7406,24.35,90,100,2.08,overcast clouds
37,Necochea,AR,-38.5473,-58.7368,52.41,78,100,8.08,overcast clouds
38,Puerto Penasco,MX,31.3167,-113.5333,75.9,78,4,1.01,clear sky
39,Roebourne,AU,-20.7833,117.1333,77.72,52,0,8.32,clear sky
40,Swift Current,CA,50.2834,-107.8014,29.17,50,0,6.76,clear sky
41,Tasiilaq,GL,65.6145,-37.6368,23.16,58,9,8.23,clear sky
42,Lasa,IT,46.6166,10.7002,50.74,98,100,3.83,overcast clouds
43,Tuatapere,NZ,-46.1333,167.6833,55.31,70,97,10.65,overcast clouds
44,Khatanga,RU,71.9667,102.5,5.4,96,100,11.9,light snow
45,Mataura,NZ,-46.1927,168.8643,61.63,49,100,10.96,overcast clouds
46,Muisne,EC,0.6,-80.0333,76.01,79,68,4.45,broken clouds
47,Chuy,UY,-33.6971,-53.4616,63.7,97,95,8.01,moderate rain
48,Nikolskoye,RU,59.7035,30.7861,47.39,88,98,6.8,overcast clouds
49,Burnie,AU,-41.0667,145.9167,64.92,57,95,11.95,overcast clouds
50,Kahului,US,20.8947,-156.47,85.26,67,40,10.36,scattered clouds
51,Longyearbyen,SJ,78.2186,15.6401,33.64,69,40,20.71,scattered clouds
52,Esperance,AU,-33.8667,121.9,67.84,44,100,15.21,overcast clouds
53,Vanderhoof,CA,54.0166,-124.0198,29.93,62,7,3.91,clear sky
54,Rikitea,PF,-23.1203,-134.9692,73.08,78,100,17.69,overcast clouds
55,Fereydun Kenar,IR,36.6864,52.5225,60.3,80,22,2.46,few clouds
56,Port Alfred,ZA,-33.5906,26.891,66.06,81,100,15.08,overcast clouds
57,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,75,13.8,broken clouds
58,Norman Wells,CA,65.282,-126.8329,19.44,93,75,2.3,broken clouds
59,Carnarvon,AU,-24.8667,113.6333,71.67,60,75,18.41,broken clouds
60,Thinadhoo,MV,0.5333,72.9333,82.78,75,100,20.87,light rain
61,Saskylakh,RU,71.9167,114.0833,4.59,97,99,6.82,overcast clouds
62,Hithadhoo,MV,-0.6,73.0833,81.81,77,100,19.64,overcast clouds
63,Mossendjo,CG,-2.9506,12.7261,70.0,100,100,2.15,overcast clouds
64,Georgetown,MY,5.4112,100.3354,81.9,87,20,4.61,few clouds
